2022-07-20, cluster_A, host_15, disk7, 58.856312189577196, F
2022-07-20, cluster_A, host_15, disk8, 54.68624997410137, F
2022-07-20, cluster_A, host_15, disk9, 58.492825082840916, F
2022-07-20, cluster_A, host_15, disk10, 63.511276382418565, F
2022-07-20, cluster_A, host_15, disk11, 44.994450007052585, F
2022-07-20, cluster_A, host_15, disk12, 51.069618526510574, F
2022-07-20, cluster_A, host_16, disk1, 143.43934001892205, F
2022-07-20, cluster_A, host_16, disk2, 205.3642991932915, F
2022-07-20, cluster_A, host_16, disk3, 222.563041890436, F
2022-07-20, cluster_A, host_16, disk4, 182.36579380199805, F
2022-07-20, cluster_A, host_16, disk5, 193.6257215463169, F
2022-07-20, cluster_A, host_16, disk6, 220.23396885821103, F
2022-07-20, cluster_A, host_16, disk7, 192.07974010166743, F
2022-07-20, cluster_A, host_16, disk8, 187.16604322539067, F
2022-07-20, cluster_A, host_16, disk9, 218.60819478136628, F
2022-07-20, cluster_A, host_16, disk10, 182.06788883075333, F
2022-07-20, cluster_A, host_16, disk11, 209.63575785071222, F
2022-07-20, cluster_A, host_16, disk12, 179.43834747839628, F
2022-07-20, cluster_A, host_17, disk1, 214.50762680577373, F
2022-07-20, cluster_A, host_17, disk2, 164.2443935084702, F
2022-07-20, cluster_A, host_17, disk3, 185.9917818427367, F
2022-07-20, cluster_A, host_17, disk4, 192.0199197646487, F
2022-07-20, cluster_A, host_17, disk5, 169.05036881326265, F
2022-07-20, cluster_A, host_17, disk6, 192.45772379391843, F
2022-07-20, cluster_A, host_17, disk7, 212.15639491958035, F
2022-07-20, cluster_A, host_17, disk8, 234.82378105558786, F
2022-07-20, cluster_A, host_17, disk9, 206.61324615793265, F
2022-07-20, cluster_A, host_17, disk10, 215.665524914993, F
2022-07-20, cluster_A, host_17, disk11, 203.1275178061533, F
2022-07-20, cluster_A, host_17, disk12, 211.31931299922545, F
2022-07-20, cluster_A, host_18, disk1, 238.98742057490352, F
2022-07-20, cluster_A, host_18, disk2, 288.3629403387168, F
2022-07-20, cluster_A, host_18, disk3, 206.11447715754528, F
2022-07-20, cluster_A, host_18, disk4, 221.62636711194696, F
2022-07-20, cluster_A, host_18, disk5, 180.86978541394475, F
2022-07-20, cluster_A, host_18, disk6, 205.83748073484298, F
2022-07-20, cluster_A, host_18, disk7, 231.13635670481062, F
2022-07-20, cluster_A, host_18, disk8, 230.72153755681884, F
2022-07-20, cluster_A, host_18, disk9, 273.25555731621483, F
2022-07-20, cluster_A, host_18, disk10, 254.20817738431546, F
2022-07-20, cluster_A, host_18, disk11, 271.83760629728704, F
2022-07-20, cluster_A, host_18, disk12, 212.99318403172222, F
2022-07-20, cluster_A, host_19, disk1, 48.71660989221345, F
2022-07-20, cluster_A, host_19, disk2, 51.268150390504495, F
2022-07-20, cluster_A, host_19, disk3, 55.18254102676049, F
2022-07-20, cluster_A, host_19, disk4, 51.9400924657317, F
2022-07-20, cluster_A, host_19, disk5, 59.79158071380747, F
2022-07-20, cluster_A, host_19, disk6, 61.6187510787721, F
2022-07-20, cluster_A, host_19, disk7, 46.78247338862814, F
2022-07-20, cluster_A, host_19, disk8, 38.27985661105012, F
2022-07-20, cluster_A, host_19, disk9, 65.17560502775152, F
2022-07-20, cluster_A, host_19, disk10, 56.89855017916556, F
2022-07-20, cluster_A, host_19, disk11, 54.479507352885186, F
2022-07-20, cluster_A, host_19, disk12, 45.83486649630395, F
2022-07-20, cluster_A, host_2, disk1, 284.0910140120971, F
2022-07-20, cluster_A, host_2, disk2, 167.44400393572167, F
